,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,AUC
2020-06-17 09:23:25.875,2.691145,2.625,0.06082612486445882,0.10825300000000038,1.75,3.875,0.41948037500000146
2020-06-17 09:24:05.000,3.0018119999999997,3.0,0.2367164146061711,0.5039119999999997,,,
2020-06-17 09:24:09.750,2.873702,2.5,0.05325372277157925,0.05893100000000029,0.25,2.375,0.13996112500000069
2020-06-17 09:24:29.375,2.7276565,3.0,0.06065875663988152,0.16462149999999998,1.625,3.875,0.6379083124999999
2020-06-17 09:24:36.250,2.681537,2.375,0.07742938302857993,0.07174199999999997,1.625,3.125,0.22419374999999991
2020-06-17 09:25:04.000,2.544019,2.5,0.09477679768987457,0.0691790000000001,,,
2020-06-17 09:25:16.250,2.705438,2.875,0.07200461351477472,0.22098949999999995,2.875,5.125,1.1325711874999997
2020-06-17 09:26:23.750,2.4979,2.5,0.06794483986760369,0.10889399999999982,1.875,3.75,0.40835249999999934
2020-06-17 09:27:03.000,2.344168,3.5,0.04246173602225767,0.14604499999999998,1.25,3.75,0.5476687499999999
2020-06-17 09:29:56.000,2.132384,3.25,0.11466246150666493,0.185759,0.75,2.625,0.487617375
